path,category,label_index,region
..\data\processed\bijoux_berberes\bijoux_berberes_0000.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0001.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0002.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0003.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0004.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0005.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0006.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0007.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0008.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0009.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0010.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0011.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0012.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0013.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0014.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0015.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0016.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0017.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0018.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0019.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0020.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0021.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0022.jpg,bijoux_berberes,0,Djerba
..\data\processed\bijoux_berberes\bijoux_berberes_0023.jpg,bijoux_berberes,0,Djerba
